Date,Description,Category,Amount,PaymentMethod
2024-06-08,Wildberries: пуховик зимний,Shopping,3634.28,Cash
2024-02-22,Магнит: продукты и вода,Food,9502.29,SMS
2024-01-26,Пятёрочка: продукты,Food,9979.34,Transfer
2024-06-29,Стоматология,Health,9583.32,SMS
2024-03-20,МегаФон: интернет,Mobile,1931.45,Cash
2024-04-23,Apple Store: подписка iCloud,Subscriptions,4474.66,Card
2024-01-14,Delivery Club: пицца,Food,5008.69,Transfer
2024-01-27,Макдоналдс: бигмак и кофе,Food,9857.64,SMS
2024-01-05,Госуслуги: штраф ГИБДД,Fines,2640.08,Cash
2024-01-16,Ашан: закупка еды,Food,1765.29,Transfer
2024-05-16,Яндекс Go: такси до офиса,Transport,5474.41,SMS
2024-02-23,Перекрёсток: товары,Food,1733.57,SMS
2024-06-24,Ситилинк: ноутбук,Electronics,8138.54,Transfer
2024-02-10,Steam: покупка игры,Entertainment,7455.46,Card
2024-05-04,Apple Store: подписка iCloud,Subscriptions,3312.15,Cash
2024-05-30,Аптека 36.6: витамины,Health,1897.24,Card
2024-02-11,Ашан: закупка еды,Food,5290.41,Transfer
2024-04-08,МТС пополнение,Mobile,8682.12,Cash
2024-01-03,Ситилинк: ноутбук,Electronics,1183.71,Card
2024-01-26,Яндекс Go: такси до офиса,Transport,8422.39,Card
2024-06-02,Ашан: закупка еды,Food,3516.98,Transfer
2024-05-02,Яндекс Go: такси до офиса,Transport,3972.45,SMS
2024-05-02,Spotify подписка,Entertainment,7452.68,SMS
2024-06-13,Steam: покупка игры,Entertainment,6471.83,SMS
2024-05-06,Ситилинк: ноутбук,Electronics,4983.55,SMS
2024-01-18,Spotify подписка,Entertainment,1836.72,Card
2024-03-12,МегаФон: интернет,Mobile,4217.79,Card
2024-04-05,Wildberries: пуховик зимний,Shopping,9550.95,Cash
2024-06-27,Spotify подписка,Entertainment,9532.75,Card
2024-03-11,Бензин на АЗС Лукойл,Car,8859.28,Transfer
2024-01-27,МТС пополнение,Mobile,2379.54,Cash
2024-03-16,Макдоналдс: бигмак и кофе,Food,7116.78,Card
2024-04-01,Госуслуги: штраф ГИБДД,Fines,2576.85,Card
2024-01-16,Стоматология,Health,4762.86,Card
2024-02-10,Кинотеатр Формула Кино,Entertainment,1241.99,SMS
2024-04-03,Бензин на АЗС Лукойл,Car,9834.09,Transfer
2024-03-18,DNS: мышка и клавиатура,Electronics,8198.67,Card
2024-04-08,Пятёрочка: продукты,Food,868.73,Card
2024-03-11,Ozon: книга и ручка,Shopping,8213.07,Cash
2024-02-08,Пятёрочка: продукты,Food,6267.28,SMS
2024-06-26,Такси Везёт,Transport,6106.4,Cash
2024-02-22,Магнит: продукты и вода,Food,7711.16,SMS
2024-06-27,ЖКХ через Госуслуги,Utilities,4295.87,Card
2024-03-09,Steam: покупка игры,Entertainment,5576.43,SMS
2024-03-07,Яндекс Go: такси до офиса,Transport,8191.31,Cash
2024-02-12,Перекрёсток: товары,Food,8324.09,Cash
2024-05-18,Стоматология,Health,5381.63,SMS
2024-04-08,Платёж в садик,Children,368.88,SMS
2024-05-01,Тинькофф: перевод другу,Transfer,2502.06,SMS
2024-05-16,Стоматология,Health,2014.14,Transfer
2024-03-01,Стоматология,Health,2246.17,SMS
2024-03-22,МТС пополнение,Mobile,4785.02,Transfer
2024-01-30,Театр им. Пушкина,Entertainment,3427.5,Transfer
2024-06-26,МегаФон: интернет,Mobile,4605.27,Transfer
2024-03-04,Макдоналдс: бигмак и кофе,Food,1445.18,Transfer
2024-06-03,Такси Везёт,Transport,1706.51,SMS
2024-03-16,Стоматология,Health,5473.63,Transfer
2024-03-29,Ozon: книга и ручка,Shopping,9597.08,Card
2024-02-28,Пятёрочка: продукты,Food,9579.01,Card
2024-02-10,Макдоналдс: бигмак и кофе,Food,7537.91,Card
2024-03-31,Wildberries: пуховик зимний,Shopping,7186.93,Card
2024-06-17,Яндекс Go: такси до офиса,Transport,8762.11,SMS
2024-04-10,Steam: покупка игры,Entertainment,4181.31,Cash
2024-03-19,Пятёрочка: продукты,Food,8469.99,SMS
2024-03-22,Фитнес-клуб X-fit,Health,5094.21,Card
2024-04-27,ИКЕА: товары для дома,Home,3061.91,SMS
2024-04-15,МегаФон: интернет,Mobile,6463.2,SMS
2024-04-17,Театр им. Пушкина,Entertainment,3459.98,SMS
2024-01-04,Zara: одежда,Shopping,4644.6,Cash
2024-03-30,Spotify подписка,Entertainment,4171.29,Card
2024-04-01,Delivery Club: пицца,Food,2369.11,Transfer
2024-02-07,Госуслуги: штраф ГИБДД,Fines,4791.71,Card
2024-06-07,Wildberries: пуховик зимний,Shopping,1808.41,Transfer
2024-02-28,ЖКХ через Госуслуги,Utilities,7616.64,Cash
2024-04-17,Автомойка,Car,8395.0,Transfer
2024-06-12,Wildberries: пуховик зимний,Shopping,2437.51,SMS
2024-05-11,Магнит: продукты и вода,Food,6270.84,Card
2024-05-09,Яндекс Go: такси до офиса,Transport,8417.65,Cash
2024-05-18,Тинькофф: перевод другу,Transfer,4029.99,Card
2024-04-25,Перекрёсток: товары,Food,1673.91,Transfer
2024-02-16,Spotify подписка,Entertainment,8663.08,Transfer
2024-04-11,Перекрёсток: товары,Food,2347.04,Card
2024-04-27,Кинотеатр Формула Кино,Entertainment,9768.8,Transfer
2024-04-22,Apple Store: подписка iCloud,Subscriptions,1221.28,Card
2024-05-27,DNS: мышка и клавиатура,Electronics,4998.06,Cash
2024-04-05,Бензин на АЗС Лукойл,Car,8605.62,SMS
2024-02-20,Steam: покупка игры,Entertainment,9558.31,SMS
2024-02-24,Пятёрочка: продукты,Food,5411.62,SMS
2024-04-02,Пятёрочка: продукты,Food,9294.6,SMS
2024-02-09,Steam: покупка игры,Entertainment,9472.61,SMS
2024-01-13,МегаФон: интернет,Mobile,9729.42,Cash
2024-04-03,Бензин на АЗС Лукойл,Car,8607.21,Card
2024-04-29,Zara: одежда,Shopping,9145.87,Cash
2024-02-17,Delivery Club: пицца,Food,7988.92,SMS
2024-06-22,Автомойка,Car,6171.08,SMS
2024-03-26,Spotify подписка,Entertainment,8844.12,Cash
2024-03-06,Макдоналдс: бигмак и кофе,Food,8922.21,Cash
2024-04-24,Ситилинк: ноутбук,Electronics,5857.51,Card
2024-02-01,Ситилинк: ноутбук,Electronics,6096.35,Transfer
2024-01-31,Delivery Club: пицца,Food,3219.08,SMS
2024-06-15,Ozon: книга и ручка,Shopping,2034.49,Cash
2024-01-19,Пятёрочка: продукты,Food,8772.07,SMS
2024-02-17,Госуслуги: штраф ГИБДД,Fines,5767.75,Transfer
2024-06-05,Платёж в садик,Children,8557.3,Transfer
2024-01-30,Аптека 36.6: витамины,Health,4589.74,Cash
2024-06-13,Магнит: продукты и вода,Food,6043.11,Transfer
2024-03-28,Аптека 36.6: витамины,Health,2223.04,SMS
2024-03-29,Zara: одежда,Shopping,7000.43,Transfer
2024-01-15,ЖКХ через Госуслуги,Utilities,9984.16,Cash
2024-01-11,Макдоналдс: бигмак и кофе,Food,9266.64,Cash
2024-01-01,Фитнес-клуб X-fit,Health,645.3,SMS
2024-05-10,Delivery Club: пицца,Food,5236.6,Card
2024-01-27,Фитнес-клуб X-fit,Health,3249.44,Transfer
2024-04-06,Тинькофф: перевод другу,Transfer,7444.42,Transfer
2024-03-02,Spotify подписка,Entertainment,5433.51,Cash
2024-05-13,DNS: мышка и клавиатура,Electronics,8628.66,Transfer
2024-01-28,Тинькофф: перевод другу,Transfer,218.11,Transfer
2024-03-29,Магнит: продукты и вода,Food,3065.22,Card
2024-06-26,Такси Везёт,Transport,8784.17,Cash
2024-05-29,Wildberries: пуховик зимний,Shopping,4291.62,Transfer
2024-01-23,Ситилинк: ноутбук,Electronics,2530.14,SMS
2024-03-01,DNS: мышка и клавиатура,Electronics,8387.15,Cash
2024-02-22,Перекрёсток: товары,Food,6921.67,Card
2024-06-09,Ситилинк: ноутбук,Electronics,2692.72,SMS
2024-02-14,ЖКХ через Госуслуги,Utilities,2752.38,Cash
2024-04-03,Театр им. Пушкина,Entertainment,4186.23,Transfer
2024-05-24,Платёж в садик,Children,4126.15,Cash
2024-04-19,МегаФон: интернет,Mobile,5936.16,SMS
2024-02-04,Автомойка,Car,923.22,Card
2024-02-05,Тинькофф: перевод другу,Transfer,2652.97,SMS
2024-06-12,МТС пополнение,Mobile,8232.13,Card
2024-05-08,Бензин на АЗС Лукойл,Car,3913.45,Transfer
2024-03-03,Steam: покупка игры,Entertainment,4275.9,Card
2024-01-20,Яндекс Go: такси до офиса,Transport,1366.18,SMS
2024-01-18,Steam: покупка игры,Entertainment,8221.05,Transfer
2024-03-27,Steam: покупка игры,Entertainment,8212.05,Cash
2024-03-03,Пятёрочка: продукты,Food,6532.69,Cash
2024-02-14,ЖКХ через Госуслуги,Utilities,5146.43,Cash
2024-04-22,Тинькофф: перевод другу,Transfer,8585.21,Transfer
2024-03-13,Стоматология,Health,973.74,Card
2024-03-02,Яндекс Go: такси до офиса,Transport,7156.3,Cash
2024-03-11,DNS: мышка и клавиатура,Electronics,112.07,Cash
2024-02-03,Стоматология,Health,8450.01,SMS
2024-04-09,ЖКХ через Госуслуги,Utilities,8190.93,Card
2024-03-06,Перекрёсток: товары,Food,6165.08,Cash
2024-03-21,Яндекс Go: такси до офиса,Transport,1364.07,Cash
2024-06-06,Платёж в садик,Children,8295.59,Card
2024-04-01,Платёж в садик,Children,8897.46,Card
2024-05-06,ЖКХ через Госуслуги,Utilities,1790.2,Card
2024-04-05,Стоматология,Health,4337.63,SMS
2024-03-24,Перекрёсток: товары,Food,1483.68,Transfer
2024-02-09,Ozon: книга и ручка,Shopping,9901.28,Cash
2024-01-11,Яндекс Go: такси до офиса,Transport,9685.87,Transfer
2024-03-07,Wildberries: пуховик зимний,Shopping,8605.28,Card
2024-06-17,ИКЕА: товары для дома,Home,9196.36,Transfer
2024-01-07,Такси Везёт,Transport,1322.69,SMS
2024-06-02,Аптека 36.6: витамины,Health,1551.36,Transfer
2024-02-16,Платёж в садик,Children,1961.34,Card
2024-01-18,Стоматология,Health,8712.24,SMS
2024-05-17,Аптека 36.6: витамины,Health,924.1,SMS
